Designator,Val,Package, Mid X, Mid Y,Rotation,Layer
C5,CC0402_10UF_6.3V_20%_X5R,CAPC1005X70N,150.000000,-106.600000,180.000000,bottom
C8,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,150.000000,-105.500000,180.000000,bottom
C11,CC0402_10UF_6.3V_20%_X5R,CAPC1005X70N,140.500000,-108.800000,0.000000,bottom
C14,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,140.500000,-105.400000,0.000000,bottom
C15,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,140.500000,-107.600000,0.000000,bottom
C31,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,148.400000,-55.400000,180.000000,bottom
C32,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,142.600000,-55.400000,0.000000,bottom
C33,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,141.900000,-96.800000,0.000000,bottom
C34,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,147.700000,-96.800000,180.000000,bottom
C35,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,149.500000,-58.100000,-90.000000,bottom
C36,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,141.800000,-58.000000,-90.000000,bottom
C37,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,140.900000,-94.100000,90.000000,bottom
C38,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,148.600000,-94.200000,90.000000,bottom
C39,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,151.000000,-58.800000,-90.000000,bottom
C40,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,140.300000,-58.600000,-90.000000,bottom
C41,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,139.400000,-93.300000,90.000000,bottom
C42,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,150.200000,-93.600000,90.000000,bottom
C61,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,195.800000,-115.900000,-90.000000,bottom
C62,CC0402_10UF_6.3V_20%_X5R,CAPC1005X70N,185.300000,-120.700000,180.000000,bottom
C63,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,185.300000,-122.300000,180.000000,bottom
C66,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,194.900000,-130.200000,-90.000000,bottom
C67,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,192.900000,-130.200000,-90.000000,bottom
C68,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,189.900000,-130.200000,-90.000000,bottom
C69,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,197.900000,-130.200000,-90.000000,bottom
C70,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,112.750000,-111.350000,90.000000,bottom
C71,CC0402_27PF_50V_5%_C0G,CAPC1005X55N,121.500000,-116.300000,90.000000,bottom
C72,CC0402_27PF_50V_5%_C0G,CAPC1005X55N,124.350000,-110.400000,0.000000,bottom
C89,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,185.700000,-91.900000,-90.000000,bottom
C90,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,186.900000,-93.100000,0.000000,bottom
C91,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,190.200000,-95.350000,0.000000,bottom
C92,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,188.500000,-93.100000,0.000000,bottom
C93,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,182.900000,-97.100000,0.000000,bottom
C94,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,184.500000,-95.500000,0.000000,bottom
C95,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,190.100000,-93.100000,0.000000,bottom
C96,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,189.300000,-97.100000,180.000000,bottom
C97,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,189.450000,-92.200000,0.000000,bottom
C98,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,184.100000,-93.500000,-90.000000,bottom
C99,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,188.100000,-91.900000,-90.000000,bottom
C100,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,185.300000,-96.300000,0.000000,bottom
C101,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,184.900000,-97.500000,90.000000,bottom
C102,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,182.900000,-95.500000,0.000000,bottom
C103,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,174.800000,-99.600000,0.000000,bottom
C104,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,195.600000,-96.300000,180.000000,bottom
C105,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,186.500000,-94.500000,-90.000000,bottom
C106,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,195.600000,-95.300000,180.000000,bottom
C107,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,188.600000,-94.800000,180.000000,bottom
C108,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,186.500000,-91.800000,-90.000000,bottom
C109,CC0805_100UF_6.3V_20%_X5R,CAPC2012X145N,174.500000,-96.000000,0.000000,bottom
C110,CC0805_100UF_6.3V_20%_X5R,CAPC2012X145N,184.800000,-104.900000,90.000000,bottom
C112,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,187.300000,-91.900000,90.000000,bottom
C113,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,189.950000,-91.300000,0.000000,bottom
C114,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,182.100000,-92.700000,-45.000000,bottom
C115,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,184.100000,-91.900000,-90.000000,bottom
C116,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,184.900000,-91.900000,90.000000,bottom
