Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_UNO_R3","Arduino_UNO_R3",158.870000,-103.175000,90.000000,top
"B1","PLATED_HOLE3.2_PAD5.5","MTG320_550",114.000000,-58.000000,0.000000,top
"B2","PLATED_HOLE3.2_PAD5.5","MTG320_550",107.000000,-136.000000,0.000000,top
"B3","PLATED_HOLE3.2_PAD5.5","MTG320_550",207.000000,-58.000000,0.000000,top
"B4","PLATED_HOLE3.2_PAD5.5","MTG320_550",207.000000,-136.000000,0.000000,top
"C1","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",179.650000,-112.900000,90.000000,top
"C2","CC0805_10UF_25V_10%_X5R","CAPC2012X95N",183.050000,-116.165000,0.000000,top
"C3","CC0402_27PF_50V_5%_C0G","CAPC1005X55N",141.930000,-99.200000,90.000000,top
"C4","CC0402_27PF_50V_5%_C0G","CAPC1005X55N",147.130000,-98.825000,-90.000000,top
"C6","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",150.000000,-105.500000,180.000000,top
"C7","CC0402_10UF_6.3V_20%_X5R","CAPC1005X70N",142.000000,-110.900000,90.000000,top
"C9","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",143.000000,-110.900000,90.000000,top
"C10","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",142.000000,-102.100000,-90.000000,top
"C12","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",148.800000,-109.300000,90.000000,top
"C13","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",144.000000,-102.100000,-90.000000,top
"C16","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",137.400000,-95.300000,180.000000,top
"C17","CC0402_10UF_6.3V_20%_X5R","CAPC1005X70N",150.700000,-100.000000,180.000000,top
"C18","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",150.700000,-98.900000,180.000000,top
"C19","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",141.800000,-58.000000,-90.000000,top
"C20","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",140.300000,-58.600000,-90.000000,top
"C21","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",148.400000,-55.400000,180.000000,top
"C22","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",142.600000,-55.400000,0.000000,top
"C23","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",149.500000,-58.100000,-90.000000,top
"C24","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",151.000000,-58.800000,-90.000000,top
"C25","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",141.900000,-96.800000,0.000000,top
"C26","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",147.700000,-96.800000,180.000000,top
"C27","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",148.600000,-94.200000,90.000000,top
"C28","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",140.900000,-94.100000,90.000000,top
"C29","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",150.200000,-93.600000,90.000000,top
"C30","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",139.400000,-93.350000,90.000000,top
"C64","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",199.800000,-127.100000,90.000000,top
"C65","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",191.800000,-129.500000,-90.000000,top
"C73","CC0402_4.7UF_16V_20%_X5R","CAPC1005X55N",132.100000,-111.400000,90.000000,top
"C74","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",131.600000,-123.700000,180.000000,top
"C75","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",126.000000,-123.700000,180.000000,top
"C76","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",128.100000,-111.400000,-90.000000,top
"C77","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",134.300000,-117.100000,180.000000,top
"C78","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",123.100000,-111.600000,-90.000000,top
"C79","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",134.300000,-119.600000,180.000000,top
"C80","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",121.300000,-120.100000,0.000000,top
"C81","CC0402_4.7UF_16V_20%_X5R","CAPC1005X55N",112.600000,-110.800000,0.000000,top
"C82","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",121.700000,-111.100000,-90.000000,top
"C83","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",119.700000,-113.200000,0.000000,top
"C84","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",131.100000,-111.400000,90.000000,top
