Designator;Footprint;Quantity;Comment;Supplier and ref
U11,U4,U10,U5,U6;VREG_TPSM863257RDXR;5;TPSM863257RDXR;
R156,R76,R155,R158,R81,R176,R148,R161,R157,R77,R163,R2,R98,R75;RESC1005X40N;14;R0402_10K_1%_0.0625W_100PPM;
C13,C227,C78,C84,C10,C22,C247,C202,C74,C80,C205,C221,C225,C26,C29,C9,C88,C222,C77,C248,C86,C12,C228,C76,C226,C204,C82,C220,C75,C24,C214,C25,C21,C18,C16,C30,C79,C20,C64,C65,C6,C213,C32,C63,C34,C66,C68,C14,C40,C42,C33,C15,C31,C8,C70,C67,C41,C69,C39;CAPC1005X55N;59;CC0402_100NF_50V_10%_X7R;
R61,R167,R63,R65,R66,R56,R64,R60,R159,R59,R49,R57,R55,R58,R54,R53,R70,R69,R71,R52,R50,R62,R67,R68,R51,R153;RESC1005X40N;26;R0402_40R2_1%_0.0625W_100PPM;
U3;MSOP-10_3x3mm_P0.5mm;1;Si5351A-B-GT;
R129,R137,R133,R123;RESC1005X40N;4;R0402_140R_1%_0.0625W_100PPM;
R131,R135,R125,R127;RESC1005X40N;4;R0402_2K32_1%_0.0625W_100PPM;
U12;SOT95P284X122-5N;1;LP5951MF-3.0/NOPB;
C19,C177,C172,C181,C1,C28,C23,C171,C27,C170,C173,C83,C38,C36,C35,C37;CAPC2012X135N;16;CC0805_22UF_16V_10%_X5R;
TP2,TP12,TP10,TP5,TP11,TP9,TP8,TP6,TP3,TP14,TP7,TP13,TP4;TestPoint_Pad_D1.5mm;13;TestPoint;
R19,R20;RESC1005X40N;2;R0402_330R_1%_0.0625W_100PPM;
U16;QFN50P500X500X100-33N-S355;1;CDCM61004RHB;
C209,C191,C208,C198,C185,C196,C194,C189,C212,C183,C210,C215,C190,C206,C197,C211,C165,C249,C154,C250,C166,C164,C159,C186,C169,C158,C163,C157,C160;CAPC0603X33N;29;CC0201_100NF_6.3V_10%_X5R;
L17,L18,L20;INDC1608X65N;3;IND0603_MURATA_BLM18SG121TN1D;
C199,C201,C192,C200,C203,C195,C187;CAPC1709X100N;7;CC0603_22UF_6.3V_20%_X5R;
C188;CAPC1005X55N;1;CC0201_100NF_6.3V_10%_X5R;
R28,R34,R87,R25,R32,R31,R45,R122,R44,R14,R41,R140,R85,R47,R21,R79,R18,R73,R26,R24,R30,R12,R38,R43,R39,R46,R48,R22,R37,R141,R33,R139,R35,R23,R29,R36,R40,R42,R27,R146,R144,R11,R15,R16,R143,R13,R10,R142,R86,R17,R145;RESC1005X40N;51;R0402_4K7_1%_0.0625W_100PPM;
